scope,subset_id,n_features,feature_set,auc,accuracy,n_samples,n_los,n_nlos
C,S59,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.885714285714286,0.786363636363636,56,21,35
C,S51,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.884285714285714,0.734848484848485,56,21,35
C,S43,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.882857142857143,0.768181818181818,56,21,35
C,S41,3,gamma_CP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.874285714285714,0.784848484848485,56,21,35
C,S96,2,a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.872857142857143,0.783333333333333,56,21,35
C,S49,3,gamma_CP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.87,0.753030303030303,56,21,35
C,S36,2,a_FP_RHCP_rx1 + a_FP_LHCP_rx2,0.868571428571429,0.768181818181818,56,21,35
C,S100,3,a_FP_RHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.865714285714286,0.784848484848485,56,21,35
C,S98,3,gamma_CP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.865714285714286,0.783333333333333,56,21,35
C,S56,3,a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.865714285714286,0.768181818181818,56,21,35
C,S53,4,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.865714285714286,0.736363636363637,56,21,35
C,S61,5,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.861428571428572,0.733333333333333,56,21,35
C,S63,6,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.861428571428572,0.731818181818182,56,21,35
C,S99,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.86,0.801515151515152,56,21,35
C,S113,4,gamma_CP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.86,0.733333333333333,56,21,35
C,S105,4,gamma_CP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.858571428571429,0.783333333333333,56,21,35
C,S62,5,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.858571428571429,0.768181818181818,56,21,35
C,S55,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.858571428571429,0.718181818181818,56,21,35
C,S121,5,gamma_CP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.857142857142857,0.803030303030303,56,21,35
C,S123,6,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.857142857142857,0.73030303030303,56,21,35
C,S27,4,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2,0.855714285714286,0.822727272727273,56,21,35
C,S97,3,gamma_CP_rx1 + a_FP_LHCP_rx2 + fp_idx_diff_rx12,0.854285714285714,0.81969696969697,56,21,35
C,S47,5,gamma_CP_rx1 + gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.851428571428571,0.784848484848485,56,21,35
C,S58,4,gamma_CP_rx2 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.851428571428571,0.768181818181818,56,21,35
C,S60,4,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.851428571428571,0.768181818181818,56,21,35
C,S37,3,gamma_CP_rx1 + a_FP_RHCP_rx1 + a_FP_LHCP_rx2,0.85,0.804545454545455,56,21,35
C,S33,2,gamma_CP_rx1 + a_FP_LHCP_rx2,0.85,0.787878787878788,56,21,35
C,S38,3,gamma_CP_rx2 + a_FP_RHCP_rx1 + a_FP_LHCP_rx2,0.847142857142857,0.768181818181818,56,21,35
C,S52,3,a_FP_RHCP_rx1 + a_FP_RHCP_rx2 + a_FP_LHCP_rx2,0.847142857142857,0.768181818181818,56,21,35
C,S44,3,a_FP_RHCP_rx1 + a_FP_LHCP_rx1 + a_FP_LHCP_rx2,0.847142857142857,0.766666666666667,56,21,35
