key,case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,valid_for_model,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,all_features_valid,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,label_cp7,label_match,valid_for_cp7_model
C|3.000|0.250,CP_caseC,C,CP,32,3,0.25,0,1,1,-74.4024514081967,1.22550955158768,5.30722223568044,7.11017859218439,6.56673357723488,1,0.704420047045299,0.554458724433326,0.208496454353171,0.0451920298017967,0.290929167839139,0.20081288527471,0,1,1
C|3.750|0.250,CP_caseC,C,CP,33,3.75,0.25,0,1,1,-77.133407631888,3.56484392251738,27.2676891766186,5.87760205843011,4.75375122029004,1,-0.127353282982088,1.02040728730874,0.0704231509191218,0.0273482403016867,0.093937145756631,0.00810310398970727,0,1,1
C|4.500|0.250,CP_caseC,C,CP,34,4.5,0.25,0,1,1,-76.1618487685861,1.39431361392021,5.74358066104138,5.73451198309047,5.22874432627409,1,1.07877491693368,0.553505356722759,0.205206388185049,0.0241017943533906,0.144078790082308,0.0627205030704749,0,1,1
C|5.250|0.250,CP_caseC,C,CP,35,5.25,0.25,0,1,1,-77.8712932316727,2.31181339538669,12.088437787008,6.71360140092446,6.82302081285646,1,0.449268351565484,0.43094435261617,0.180973354474068,0.00204988248945094,0.21276342892391,0.0651236043605121,0,1,1
C|0.750|0.750,CP_caseC,C,CP,36,0.75,0.75,1,1,1,-66.6841764686903,5.10694203469419,49.0452856230672,2.59952819890349,3.11806374311438,1,0.874112057867427,0.0299375706260504,0.297249468851159,0.223699166857138,0.401703290449938,0.394561476744714,1,1,1
C|1.500|0.750,CP_caseC,C,CP,37,1.5,0.75,1,1,1,-66.8881085395982,5.12203840896616,39.6343279890013,2.70765275672456,3.56867331928474,1,1.29381046526838,-0.0223009895828833,0.4025252646172,0.23320552881598,0.390628030876194,0.332065159362068,1,1,1
C|2.250|0.750,CP_caseC,C,CP,38,2.25,0.75,1,1,1,-66.81497303546,4.91787693309952,37.7043038052639,2.76508870692462,3.3191353909413,1,1.24356260726635,0.320575263289799,0.382409018211057,0.188175564741198,0.387853631042524,0.319625461494635,1,1,1
C|3.000|0.750,CP_caseC,C,CP,39,3,0.75,0,1,1,-68.0180005618083,4.67915332712621,36.6280966606799,3.11219697832592,4.08718532129845,1,1.05007613149997,0.425712153911531,0.424934177851114,0.155807933288066,0.411199395043989,0.179486137872213,0,1,1
C|3.750|0.750,CP_caseC,C,CP,40,3.75,0.75,0,1,1,-70.7001483909127,4.06550988138945,23.0331533214523,3.54080042951103,5.3556285612616,1,0.895322168443915,1.15334223247699,0.294423560832139,0.156786785320523,0.268973889170883,0.0676834646517952,0,1,1
C|4.500|0.750,CP_caseC,C,CP,41,4.5,0.75,1,1,1,-72.5607024160985,3.66619332935676,23.5386371903746,3.92747827967416,5.13468272936434,1,0.607571510053505,0.0766259230246619,0.290777092857332,0.118437446837473,0.422949487006762,0.0666706745091722,1,1,1
