model_name,feature_name,rep_idx,baseline_auc,permuted_auc,auc_drop
logistic,gamma_CP_rx1,55,0.904974489795918,0.89859693877551,0.00637755102040838
rf,gamma_CP_rx1,55,0.892857142857143,0.892538265306122,0.000318877551020447
logistic,gamma_CP_rx2,55,0.904974489795918,0.866709183673469,0.038265306122449
rf,gamma_CP_rx2,55,0.892857142857143,0.848533163265306,0.0443239795918365
logistic,a_FP_RHCP_rx1,55,0.904974489795918,0.892857142857143,0.0121173469387756
rf,a_FP_RHCP_rx1,55,0.892857142857143,0.888871173469388,0.00398596938775497
logistic,a_FP_LHCP_rx1,55,0.904974489795918,0.869897959183674,0.0350765306122448
rf,a_FP_LHCP_rx1,55,0.892857142857143,0.892538265306122,0.000318877551020225
logistic,a_FP_RHCP_rx2,55,0.904974489795918,0.905293367346939,-0.000318877551020447
rf,a_FP_RHCP_rx2,55,0.892857142857143,0.897321428571428,-0.0044642857142857
logistic,a_FP_LHCP_rx2,55,0.904974489795918,0.895727040816327,0.00924744897959173
rf,a_FP_LHCP_rx2,55,0.892857142857143,0.856505102040816,0.0363520408163266
logistic,gamma_CP_rx1,56,0.904974489795918,0.909757653061224,-0.00478316326530603
rf,gamma_CP_rx1,56,0.892857142857143,0.894451530612245,-0.00159438775510201
logistic,gamma_CP_rx2,56,0.904974489795918,0.88265306122449,0.0223214285714285
rf,gamma_CP_rx2,56,0.892857142857143,0.832589285714286,0.0602678571428569
logistic,a_FP_RHCP_rx1,56,0.904974489795918,0.892538265306122,0.0124362244897961
rf,a_FP_RHCP_rx1,56,0.892857142857143,0.899872448979592,-0.00701530612244905
logistic,a_FP_LHCP_rx1,56,0.904974489795918,0.872767857142857,0.0322066326530612
rf,a_FP_LHCP_rx1,56,0.892857142857143,0.885204081632653,0.00765306122448983
logistic,a_FP_RHCP_rx2,56,0.904974489795918,0.921875,-0.0169005102040817
rf,a_FP_RHCP_rx2,56,0.892857142857143,0.893973214285714,-0.0011160714285714
logistic,a_FP_LHCP_rx2,56,0.904974489795918,0.894451530612245,0.0105229591836734
rf,a_FP_LHCP_rx2,56,0.892857142857143,0.876275510204081,0.0165816326530612
