pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,r_CP_rx1,r_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,fp_idx_RHCP_rx1,fp_idx_LHCP_rx1,fp_idx_RHCP_rx2,fp_idx_LHCP_rx2,fp_idx_diff_rx12,fp_delay_diff_ns_rx12,position_id,scenario,distance_m,gamma_CP
41,8.90709767150751,0.148916725722335,0,1,27,27,-65.9681834296185,-69.4679600730633,7.13797683290626,10.6762185101088,0.281128160584015,0.0829938389790611,0.211744341657656,0.0198005616686072,27,27,27,27,0,0,41,NA,NaN,0.949736214633455
42,10.2700920537531,0.168679065800207,0,1,32,32,-64.256783325556,-66.9616487548629,6.35212530765679,14.1880587998494,0.255681941256211,0.106347316270742,0.251716125721256,0.0609708799526204,32,32,32,32,0,0,42,NA,NaN,1.01157433631956
43,8.67767218866411,0.316178174987459,1,1,7.5,7.5,-59.1928686078725,-72.8208991292018,16.4563702944142,0.898974082914044,0.289146043385175,0.269075478459659,0.354919505261276,0.351571672843728,7,7,8,8,1,0.499001996008261,43,NA,NaN,0.938403240014984
44,40.5569497127352,0.192203563566372,1,1,10,10,-57.6726160838175,-71.3805535236061,80.4485997162678,0.665299709202567,0.313595461297965,0.124387435219987,0.159108998591189,0.171722359156348,10,10,10,10,0,0,44,NA,NaN,1.60806528427542
45,15.3019922434881,0.200013730218471,1,1,14,14,-58.4257127919383,-70.8624610005748,29.6153880113816,0.988596475594583,0.345614187564115,0.0838113016960008,0.219455698218455,0.151173733395314,14,14,14,14,0,0,45,NA,NaN,1.18474797748605
46,11.486629146915,0.197438389950875,1,1,18,18,-58.8778311378107,-69.1365547882414,19.9293497805722,3.04390851325777,0.305964214422405,0.140827567141875,0.257540211907298,0.0854215663319223,18,18,18,18,0,0,46,NA,NaN,1.06019259982174
47,11.0159722947967,0.216016929060555,1,1,23,23,-61.0469334412524,-66.3899754493137,13.3165178757944,8.71542671379891,0.365722704190527,0.200405565744121,0.248404995686619,0.0495344506209514,23,23,23,23,0,0,47,NA,NaN,1.04202283499832
48,12.1770216681758,0.102668607491234,0,1,28.5,28.5,-69.6226896739703,-71.1435369177828,10.2222057611321,14.1318375752196,0.271713055597154,0.0399945099567416,0.0938140953733848,0.00515276903765665,28,28,29,29,1,0.499001996008261,48,NA,NaN,1.08554107883491
49,17.6284808662245,0.170180992592515,0,1,33,33,-65.1001488835703,-66.2548517437394,16.1416397264539,19.1153220059952,0.387993758671541,0.0596215057014782,0.207508699657263,0.025600006339778,33,33,33,33,0,0,49,NA,NaN,1.24621488859869
50,1.35986064611656,0.297553918101347,1,1,10,10,-61.6685493341357,-76.0545732522066,2.02633102869953,0.693390263533596,0.359386343663199,0.313287454410196,0.286693824708681,0.23084804962331,10,10,10,10,0,0,50,NA,NaN,0.133494405632368
51,4.07176692876054,0.20032257154779,1,1,12.5,12.5,-59.2034899376153,-75.3459636250076,7.90827231141226,0.235261546108825,0.28876035898183,0.236720751109402,0.122009816920519,0.153799359179408,12,12,13,13,1,0.499001996008261,51,NA,NaN,0.60978291067199
