key,case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,valid_for_model,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,all_features_valid,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,label_cp7,label_match,valid_for_cp7_model
B|0.750|1.250,CP_caseB,B,CP,43,0.75,1.25,1,1,1,-70.3087136077642,4.07224339812839,28.2972241970842,4.09900216296267,5.65537883293998,1,1.32423155867255,-0.0441450202514789,0.289146043385175,0.269075478459659,0.354919505261276,0.351571672843728,1,1,1
B|1.500|1.250,CP_caseB,B,CP,44,1.5,1.25,1,1,1,-69.5156238873498,4.47881004296975,38.243971538077,5.35637736110544,6.44084886658402,1,1.95070265138022,-0.14845612194104,0.313595461297965,0.124387435219987,0.159108998591189,0.171722359156348,1,1,1
B|2.250|1.250,CP_caseB,B,CP,45,2.25,1.25,1,1,1,-68.9647796553529,4.27257169958632,36.7754361090631,3.78098158626884,4.34243706303411,1,1.37484941959414,-0.0503832617373541,0.345614187564115,0.0838113016960008,0.219455698218455,0.151173733395314,1,1,1
B|3.000|1.250,CP_caseB,B,CP,46,3,1.25,1,1,1,-67.9824320808553,5.11711324757654,45.0355622724131,2.63679102010351,2.82860969596971,1,1.46063378293863,0.390405125575921,0.305964214422405,0.140827567141875,0.257540211907298,0.0854215663319223,1,1,1
B|3.750|1.250,CP_caseB,B,CP,47,3.75,1.25,1,1,1,-67.6901677337929,6.19483424071738,57.4760975018199,2.77549721185285,3.62431068216462,1,1.20130833031312,0.866423138351703,0.365722704190527,0.200405565744121,0.248404995686619,0.0495344506209514,1,1,1
B|4.500|1.250,CP_caseB,B,CP,48,4.5,1.25,0,1,1,-78.7873922111837,2.10215534213829,9.64964717720941,6.78749658799395,6.50598260563722,1,0.74312312454814,-0.0745341130193276,0.271713055597154,0.0399945099567416,0.0938140953733848,0.00515276903765665,0,1,1
B|5.250|1.250,CP_caseB,B,CP,49,5.25,1.25,0,1,1,-70.5483284301818,4.17917129834991,22.7599334868419,3.7512759461097,5.75175564506369,1,1.12382323391284,0.945755492132702,0.387993758671541,0.0596215057014782,0.207508699657263,0.025600006339778,0,1,1
B|0.750|1.750,CP_caseB,B,CP,50,0.75,1.75,1,1,1,-73.2371655270542,4.63576820587026,35.7154073029585,3.73721167165439,5.16255574494702,1,0.277521381250725,-0.174287721567211,0.359386343663199,0.313287454410196,0.286693824708681,0.23084804962331,1,1,1
B|1.500|1.750,CP_caseB,B,CP,51,1.5,1.75,1,1,1,-73.9498112904058,4.82305110523471,41.6193034825199,5.33310328044782,6.09340361630226,1,0.859672498454131,-0.663085338509639,0.28876035898183,0.236720751109402,0.122009816920519,0.153799359179408,1,1,1
B|2.250|1.750,CP_caseB,B,CP,52,2.25,1.75,1,1,1,-72.1265611084104,4.74935311849544,42.4539622955857,5.00204512243115,5.74730913037209,1,1.21027951008887,-0.114475078338371,0.381335959452624,0.175462632506741,0.0841121066608804,0.0385475411945588,1,1,1
B|3.000|1.750,CP_caseB,B,CP,53,3,1.75,1,1,1,-70.8420475864524,3.69982931109764,37.1697766780992,4.22991016270801,4.62049634014805,1,1.38774257590279,-0.18823403980718,0.394256727244182,0.0973480498167597,0.219253933224328,0.0347298302025358,1,1,1
