case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,r_CP,a_FP,fp_idx_rx1,fp_idx_rx2,rss_rx1_db,rss_rx2_db,fp_energy_gap_db,rise_time_ns,mean_excess_delay_ns,rms_delay_spread_ns,max_excess_delay_ns,kurtosis_pdp,skewness_pdp,fp_energy_db,total_energy_db,fp_energy_ratio,fp_amp_norm,peak_to_leading_db,multipath_count,ricean_k_db,valid_for_model,oof_score,oof_pred,fold_id,full_fit_score,baseline_score,proposed_score,baseline_pred,proposed_pred,rescued_by_proposed,harmed_by_proposed,tag_id,geometric_class,material_class,penetration_loss_db,num_hits,hit_objects,hit_materials,criterion
CP_caseB,B,CP,10,2.25,-1.25,1,1,0.0864770727721426,0.267643479993368,14,14,-65.8844286673177,-56.3518226620456,3.85182589281069,1.74650698602891,2.8119439794587,3.08827161275814,39.1716566866485,58.8254186419229,5.38639802531025,-64.9699515554151,-61.1181256626044,0.414946089047644,0.231676923390296,4.33376604227663,57.5,-7.49952007667326,1,0.99370816709132,1,3,0.992498803894023,0.995041307942903,0.99587276703984,1,1,0,0,T18,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,10,2.25,-1.25,1,1,0.788403442618056,0.180952952471938,14,14,-67.4893005524892,-66.9441364914437,5.84826653376039,1.74650698602891,4.87560494483762,5.03461400662497,45.1596806387476,18.5339471779422,3.00674448089881,-73.0649850506364,-67.216718516876,0.260431195194641,0.183650000113258,4.4538303691387,78,-9.72348575655602,1,0.740808585185489,1,2,0.74600622047591,0.752746569116191,0.695181273120564,1,1,0,0,T18,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,3,2.25,-1.75,1,1,0.0605685546181434,0.288905588085801,16,16,-68.3060589134027,-57.4748656895699,4.93615602782351,1.99600798403304,3.02103985670593,3.21480356629659,45.4091816367517,117.505497146777,7.0376457029001,-67.8266183257758,-62.8904622979523,0.324715800389859,0.179259122924548,6.55838040350317,53.5,-7.62007860261869,1,0.999554831829966,1,3,0.996386993698092,0.99896709360903,0.999547670926142,1,1,0,0,T17,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,3,2.25,-1.75,1,1,1.25443647119316,0.227132709218345,16,16,-70.3075251483597,-70.9757801038825,6.82819949072952,1.99600798403304,6.17148148398649,5.97083780206976,46.9061876247765,14.3598497707992,2.62622758998778,-77.4698521056389,-70.6416526149093,0.207777045635468,0.147597588567006,5.70791189259291,88,-10.4850696147787,1,0.397481489627666,0,4,0.498972783028168,0.359285185726539,0.44940841613217,0,0,0,0,T17,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,31,2.25,0.25,1,1,1.64548658059863,0.304704338232054,12,12,-59.1646469517878,-61.4069003824299,3.68137077650607,1.99600798403304,2.19008542335247,2.29560304176297,33.6826347305576,73.9153801417507,6.79429647951876,-63.9671444425505,-60.2857736660444,0.428425017699091,0.229667380664868,4.7861831023821,52.5,-7.04944331874489,1,0.998211283002787,1,3,0.997838606405983,0.998561111462791,0.999151901191633,1,1,0,0,T21,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,31,2.25,0.25,1,1,1.93814819846915,0.32580624304184,13,12,-65.0627231116634,-66.4112641211918,5.06967710527702,1.99600798403304,3.79743836046746,4.47228658797793,45.90818363276,27.0504936027268,3.83272284074167,-70.8066707180475,-65.7369936127705,0.311239518828176,0.190890295675639,5.32127207343141,71.5,-8.37520245677237,1,0.977061993457407,1,1,0.971378847956252,0.912204481476219,0.964908522342168,1,1,0,0,T21,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,38,2.25,0.75,1,1,6.45519210023649,0.402032298143254,13,13,-58.6953993687449,-66.5063512318887,4.31487905170088,1.99600798403304,2.71545875131745,3.35691218131493,39.6706586826567,38.2509893245467,4.82591584750012,-66.9157543495037,-62.6008752978028,0.370459929297001,0.191699048991542,6.49585351229614,58.5,-6.96691540467372,1,0.992635364899974,1,5,0.995579714408676,0.979545007268151,0.989867108356907,1,1,0,0,T22,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,38,2.25,0.75,1,1,1.10803325978774,0.165898576614489,12,13,-67.1446929905499,-68.2901516830555,6.81518208139462,1.99600798403304,5.74453382602641,5.45394845210765,48.6526946108054,16.9478280311989,2.60581405166021,-74.5326044124464,-67.7174223310518,0.209603575786543,0.151288564120722,5.81512868965876,87,-10.179003873567,1,0.613506081124676,1,2,0.628923582193248,0.602892895999596,0.541401130311646,1,1,0,0,T22,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,45,2.25,1.25,1,1,27.6006425803199,0.345614088976263,14,14,-58.4257116113883,-70.8630180667373,4.32041482250723,1.49700598802478,3.78098158626884,4.34243706303411,37.9241516966278,36.7754361090631,4.27257169958632,-68.9647796553529,-64.6443648328456,0.379600509257238,0.2225387425661,4.20161195284689,55,-8.09529626976863,1,0.998742868576866,1,2,0.961525921884897,0.958158567978023,0.998737551114554,1,1,0,0,T23,LOS,LOS,0,0,,,penetration_threshold
LP_caseB,B,LP,45,2.25,1.25,1,1,4.65117360553553,0.19054237571445,14,15,-64.9157420863945,-69.6019483632951,7.26614624802645,4.49101796407435,5.56908006165198,4.73866186504466,45.6586826347558,21.8760632263062,3.032710426662,-74.5249914669765,-67.25884521895,0.197958154728725,0.168395344680699,5.72122838085042,81,-9.17367276203386,1,0.834952087498485,1,4,0.80343179180198,0.655581136022803,0.662965003516107,1,1,0,0,T23,LOS,LOS,0,0,,,penetration_threshold
