case_name,scenario,polarization,pos_id,x_m,y_m,label,r_CP,a_FP,fp_energy_db,mean_excess_delay_ns,baseline_score,proposed_score,baseline_pred,proposed_pred,baseline_wrong,proposed_wrong,rescued_by_proposed,harmed_by_proposed,score_delta_proposed_minus_baseline
CP_caseB,B,CP,48,4.5,1.25,1,4.11129056403929,0.271879135510841,-78.7873922111837,6.78749658799395,0.211080230693359,0.330167592277665,0,0,1,1,0,0,0.119087361584306
CP_caseB,B,CP,49,5.25,1.25,1,2.43967980923428,0.387990277827823,-70.5483284301818,3.7512759461097,0.888370352374262,0.941308587377185,1,1,0,0,0,0,0.0529382350029226
CP_caseB,B,CP,50,0.75,1.75,1,34.4148296137828,0.359386385589469,-73.2371655270542,3.73721167165439,0.884355505119504,0.998227927363597,1,1,0,0,0,0,0.113872422244094
CP_caseB,B,CP,52,2.25,1.75,1,72.7826929210595,0.381329279600644,-72.1265611084104,5.00204512243115,0.929937498302547,0.905266487259114,1,1,0,0,0,0,-0.0246710110434327
CP_caseB,B,CP,53,3,1.75,1,29.9812706442903,0.394245589704763,-70.8420475864524,4.22991016270801,0.910016039286038,0.936368279949449,1,1,0,0,0,0,0.0263522406634101
CP_caseB,B,CP,54,3.75,1.75,1,14.6785551822624,0.300697104763578,-69.8245784950111,2.92190946248597,0.978049691435161,0.996552675954261,1,1,0,0,0,0,0.0185029845191007
CP_caseB,B,CP,55,4.5,1.75,1,6.06403743309782,0.372115204700778,-67.83441936583,2.74198645485096,0.98539528731138,0.991954039092502,1,1,0,0,0,0,0.00655875178112153
CP_caseB,B,CP,56,5.25,1.75,1,3.59715673693097,0.419138869587804,-67.0325631715865,2.64541967022624,0.995289308286687,0.998573179870988,1,1,0,0,0,0,0.00328387158430055
CP_caseC,C,CP,1,0.75,-1.75,1,0.103665249737222,0.232197087633561,-71.0468626452978,3.79356551915896,0.869188056816686,0.884265313939809,1,1,0,0,0,0,0.0150772571231232
CP_caseC,C,CP,2,1.5,-1.75,1,0.062898672263489,0.174163453373139,-67.4978066526219,3.16132974829574,0.930521656891234,0.907899696624656,1,1,0,0,0,0,-0.0226219602665777
CP_caseC,C,CP,3,2.25,-1.75,1,0.128168563050007,0.284259240422609,-67.013267318568,2.74123494643289,0.98293655382626,0.986064170408506,1,1,0,0,0,0,0.00312761658224647
CP_caseC,C,CP,4,3,-1.75,1,0.0608378851860154,0.122011229931053,-71.1325261032698,6.4932861071463,0.81924353771988,0.605396751187358,1,1,0,0,0,0,-0.213846786532522
CP_caseC,C,CP,5,3.75,-1.75,1,0.29133423282578,0.233083511868934,-73.3529223546121,4.49881468374286,0.69053901759474,0.707454043333877,1,1,0,0,0,0,0.0169150257391375
CP_caseC,C,CP,6,4.5,-1.75,1,0.0890624290859731,0.281238850993171,-69.715645986503,4.21417069219084,0.80684141923187,0.843056935707432,1,1,0,0,0,0,0.0362155164755618
CP_caseC,C,CP,7,5.25,-1.75,1,0.405777696464638,0.175791139511886,-72.6905970344895,4.38391814746669,0.602104234020411,0.516736191161249,1,1,0,0,0,0,-0.085368042859162
CP_caseC,C,CP,8,0.75,-1.25,1,0.136312081611045,0.322303960495477,-67.0650331954983,3.30929676789348,0.976318059694143,0.983854433785155,1,1,0,0,0,0,0.00753637409101215
CP_caseC,C,CP,9,1.5,-1.25,1,0.119008129841758,0.376550351768065,-64.8264586791602,2.69999719646217,0.967094831361367,0.987011013692108,1,1,0,0,0,0,0.0199161823307411
