feature_x,feature_y,feature_x_value,feature_y_value,partial_dependence,pd_feature_x,pd_feature_y,interaction_residual
a_FP_RHCP_rx1,gamma_CP_rx2,0.269897475882788,-0.171704561604594,0.910801091269841,0.653125,0.862485119047619,-0.046843214285714
a_FP_RHCP_rx1,gamma_CP_rx2,0.282097209258461,-0.171704561604594,0.910801091269841,0.653125,0.864419642857143,-0.046843214285714
a_FP_RHCP_rx1,gamma_CP_rx2,0.294296942634135,-0.171704561604594,0.910801091269841,0.653125,0.869032738095238,-0.046843214285714
a_FP_RHCP_rx1,gamma_CP_rx2,0.306496676009809,-0.171704561604594,0.905369543650794,0.653125,0.870520833333333,-0.0478848809523805
a_FP_RHCP_rx1,gamma_CP_rx2,0.318696409385483,-0.171704561604594,0.902988591269841,0.653125,0.870520833333333,-0.0478848809523807
a_FP_RHCP_rx1,gamma_CP_rx2,0.330896142761157,-0.171704561604594,0.901277281746032,0.653125,0.868139880952381,-0.0485545238095235
a_FP_RHCP_rx1,gamma_CP_rx2,0.343095876136831,-0.171704561604594,0.901277281746032,0.653125,0.868139880952381,-0.0485545238095235
a_FP_RHCP_rx1,gamma_CP_rx2,0.355295609512504,-0.171704561604594,0.901277281746032,0.653125,0.868139880952381,-0.0485545238095235
a_FP_RHCP_rx1,gamma_CP_rx2,0.367495342888178,-0.171704561604594,0.902318948412699,0.653125,0.876994047619048,-0.049372976190476
a_FP_RHCP_rx1,gamma_CP_rx2,0.379695076263852,-0.171704561604594,0.902318948412699,0.653125,0.876994047619048,-0.049372976190476
a_FP_RHCP_rx1,gamma_CP_rx2,0.391894809639526,-0.171704561604594,0.902318948412699,0.653125,0.876994047619048,-0.049372976190476
a_FP_RHCP_rx1,gamma_CP_rx2,0.4040945430152,-0.171704561604594,0.902318948412699,0.653125,0.876994047619048,-0.049372976190476
a_FP_RHCP_rx1,gamma_CP_rx2,0.111300941999028,-0.0825034316338479,0.583792162698413,0.653125,0.842581845238095,-0.117143313492063
a_FP_RHCP_rx1,gamma_CP_rx2,0.123500675374702,-0.0825034316338479,0.583792162698413,0.653125,0.844367559523809,-0.117143313492063
a_FP_RHCP_rx1,gamma_CP_rx2,0.135700408750375,-0.0825034316338479,0.575756448412698,0.653125,0.844367559523809,-0.120045099206349
a_FP_RHCP_rx1,gamma_CP_rx2,0.147900142126049,-0.0825034316338479,0.573821924603174,0.653125,0.840275297619048,-0.120045099206349
a_FP_RHCP_rx1,gamma_CP_rx2,0.160099875501723,-0.0825034316338479,0.566083829365079,0.653125,0.835141369047619,-0.120045099206349
a_FP_RHCP_rx1,gamma_CP_rx2,0.172299608877397,-0.0825034316338479,0.566083829365079,0.653125,0.823608630952381,-0.120045099206349
a_FP_RHCP_rx1,gamma_CP_rx2,0.184499342253071,-0.0825034316338479,0.55094246031746,0.653125,0.825791170634921,-0.120863551587301
a_FP_RHCP_rx1,gamma_CP_rx2,0.196699075628745,-0.0825034316338479,0.549751984126984,0.653125,0.82812251984127,-0.120863551587301
a_FP_RHCP_rx1,gamma_CP_rx2,0.208898809004418,-0.0825034316338479,0.513070436507937,0.653125,0.822517361111111,-0.118879424603174
a_FP_RHCP_rx1,gamma_CP_rx2,0.221098542380092,-0.0825034316338479,0.563665674603175,0.653125,0.832487599206349,-0.0983933134920633
a_FP_RHCP_rx1,gamma_CP_rx2,0.233298275755766,-0.0825034316338479,0.870771329365079,0.653125,0.841763392857143,-0.0536884523809522
a_FP_RHCP_rx1,gamma_CP_rx2,0.24549800913144,-0.0825034316338479,0.904774305555556,0.653125,0.850716765873016,-0.0468432142857137
a_FP_RHCP_rx1,gamma_CP_rx2,0.257697742507114,-0.0825034316338479,0.910503472222222,0.653125,0.855577876984127,-0.0468432142857139
a_FP_RHCP_rx1,gamma_CP_rx2,0.269897475882788,-0.0825034316338479,0.912586805555556,0.653125,0.862485119047619,-0.0468432142857139
a_FP_RHCP_rx1,gamma_CP_rx2,0.282097209258461,-0.0825034316338479,0.912586805555556,0.653125,0.864419642857143,-0.0468432142857139
a_FP_RHCP_rx1,gamma_CP_rx2,0.294296942634135,-0.0825034316338479,0.912586805555556,0.653125,0.869032738095238,-0.0468432142857139
a_FP_RHCP_rx1,gamma_CP_rx2,0.306496676009809,-0.0825034316338479,0.907155257936508,0.653125,0.870520833333333,-0.0478848809523805
a_FP_RHCP_rx1,gamma_CP_rx2,0.318696409385483,-0.0825034316338479,0.904774305555556,0.653125,0.870520833333333,-0.0478848809523806
