pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,r_CP_rx1,r_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,fp_idx_RHCP_rx1,fp_idx_LHCP_rx1,fp_idx_RHCP_rx2,fp_idx_LHCP_rx2,fp_idx_diff_rx12,fp_delay_diff_ns_rx12,position_id,scenario,distance_m
27,2.37908701672785,0.0480508772210697,0,1,27.5,27.5,-73.5151080565745,-69.9456839524373,0.515356913118187,4.24281712033751,0.0565539251282476,0.0529411648583523,0.0490768945313646,0.0336315243663142,27,27,28,28,1,0.499001996008261,27,NA,NaN
28,1.8390832116486,0.139398316991376,0,1,33,33,-74.8596381563837,-67.9844811081731,0.282546093277406,3.39562033001979,0.138264803845199,0.150228536667024,0.141384810966931,0.127715116486349,33,33,33,33,0,0,28,NA,NaN
29,9.45287144711486,0.246236536207148,1,1,4,4,-58.7476574307089,-62.101735738687,16.7859815789254,2.11976131530435,0.309825120455414,0.12817232111431,0.292407005948785,0.254541697310083,4,4,4,4,0,0,29,NA,NaN
30,3.79826004091144,0.338528858867908,1,1,8,8,-57.598962172239,-60.850154958987,5.23104053017668,2.3654795516462,0.366823559812725,0.306597925172749,0.357728958750253,0.322964991735906,8,8,8,8,0,0,30,NA,NaN
31,4.54640592972338,0.258689519265386,1,1,12,12,-64.2048426384535,-63.394749133279,3.39569192400942,5.69711993543734,0.304468288715191,0.220311362458596,0.287596943588146,0.222381482299612,12,12,12,12,0,0,31,NA,NaN
32,5.16639375203336,0.186357634317204,0,1,17,17,-67.768992539494,-68.3487287734585,6.48157519902446,3.85121230504226,0.208496454353171,0.0451920298017967,0.290929167839139,0.20081288527471,17,17,17,17,0,0,32,NA,NaN
33,10.2044058244821,0.0499529102417867,0,1,22,22,-68.0720303730327,-70.8338293530079,2.84574026281391,17.5630713861502,0.0704231509191218,0.0273482403016867,0.093937145756631,0.00810310398970727,23,23,21,21,2,0.998003992016519,33,NA,NaN
34,8.13353905268778,0.109026868922806,0,1,26,26,-70.9431029426921,-69.1351792404008,9.88041947000622,6.38665863536933,0.205206388185049,0.0241017943533906,0.144078790082308,0.0627205030704749,26,26,26,26,0,0,34,NA,NaN
35,30.9181480124035,0.115227567561985,0,1,31.5,31.5,-72.63461457245,-69.9323924420364,58.6750935908173,3.16120243398974,0.180973354474068,0.00204988248945094,0.21276342892391,0.0651236043605121,31,31,32,32,1,0.499001996008259,35,NA,NaN
36,4.72320119154289,0.329303350725737,1,1,5.5,5.5,-57.8669579093249,-67.5498781660283,8.4136934838461,1.03270889923968,0.297249468851159,0.223699166857138,0.401703290449938,0.394561476744714,5,5,6,6,1,0.499001996008261,36,NA,NaN
37,11.4829729576945,0.339605995917861,1,1,9,9,-57.0189490652314,-68.2444502206712,22.0065248057607,0.959421109628347,0.4025252646172,0.23320552881598,0.390628030876194,0.332065159362068,9,9,9,9,0,0,37,NA,NaN
