model_name,feature_name,rep_idx,baseline_auc,permuted_auc,auc_drop
logistic,a_FP_RHCP_rx1,17,0.91390306122449,0.891262755102041,0.0226403061224489
rf,a_FP_RHCP_rx1,17,0.90625,0.907525510204081,-0.00127551020408145
logistic,a_FP_LHCP_rx1,17,0.91390306122449,0.866390306122449,0.0475127551020406
rf,a_FP_LHCP_rx1,17,0.90625,0.896364795918367,0.00988520408163285
logistic,a_FP_RHCP_rx2,17,0.91390306122449,0.917091836734694,-0.00318877551020413
rf,a_FP_RHCP_rx2,17,0.90625,0.905452806122449,0.000797193877551061
logistic,a_FP_LHCP_rx2,17,0.91390306122449,0.909757653061224,0.00414540816326525
rf,a_FP_LHCP_rx2,17,0.90625,0.87515943877551,0.0310905612244899
logistic,gamma_CP_rx1,18,0.91390306122449,0.901466836734694,0.0124362244897958
rf,gamma_CP_rx1,18,0.90625,0.904177295918367,0.00207270408163285
logistic,gamma_CP_rx2,18,0.91390306122449,0.872130102040816,0.0417729591836734
rf,gamma_CP_rx2,18,0.90625,0.866390306122449,0.0398596938775511
logistic,a_FP_RHCP_rx1,18,0.91390306122449,0.910714285714286,0.00318877551020402
rf,a_FP_RHCP_rx1,18,0.90625,0.910395408163265,-0.00414540816326525
