pos_id,r_CP,a_FP,label,valid_flag,fp_idx_RHCP,fp_idx_LHCP,RSS_RHCP,RSS_LHCP,position_id,scenario,distance_m
48,1.82917180049224,0.271879135510841,1,1,28,29,-69.6257940113005,-71.1441753241485,48,NA,NaN
49,3.08964452644918,0.387990277827823,1,1,33,33,-65.1003493218587,-66.2599248037742,49,NA,NaN
50,39.6681899877643,0.359386385589469,1,1,10,10,-61.6685498399807,-76.0545737421207,50,NA,NaN
51,42.6890750964502,0.288755274644685,1,1,12,13,-59.2034129461265,-75.3462094077275,51,NA,NaN
52,76.4549371667908,0.381329279600644,1,1,16,16,-59.1947361410136,-71.2509034188887,52,NA,NaN
53,29.7274644541157,0.394245589704763,1,1,20,20,-59.9072048781493,-72.127115647998,53,NA,NaN
54,13.9157314171932,0.300697104763578,1,1,24,24,-60.1492450490581,-70.9883419870274,54,NA,NaN
55,6.0557042058252,0.372115204700778,1,1,29,29,-59.4032154744926,-67.4464554493633,55,NA,NaN
56,4.88461150097566,0.419138869587804,1,1,34,34,-61.029437032269,-64.4135718658333,56,NA,NaN
1,0.0885153349843244,0.232197087633561,1,1,10,10,-70.1816951143104,-62.1860467698715,1,NA,NaN
2,0.0618647481557018,0.174163453373139,1,1,12,12,-67.4720425032572,-57.5182502031495,2,NA,NaN
3,0.205649776227836,0.284259240422609,1,1,17,16,-66.5241230303207,-58.1840911739896,3,NA,NaN
4,0.0651797046143385,0.122011229931053,1,1,20,20,-67.8738255788485,-60.4656363107785,4,NA,NaN
5,0.403088499820435,0.233083511868934,1,1,25,24,-69.4621588398923,-65.7290556547633,5,NA,NaN
6,0.102626462860653,0.281238850993171,1,1,29,29,-70.038157897837,-59.5948983221533,6,NA,NaN
7,0.473795320526599,0.175791139511886,1,1,34,33,-68.5730118563452,-66.100584965408,7,NA,NaN
8,0.264725598284902,0.322303960495477,1,1,8,7,-67.1315374781863,-58.0335829716966,8,NA,NaN
9,0.218282307627523,0.376550351768065,1,1,11,10,-65.7922695337373,-55.7490033433933,9,NA,NaN
10,0.34139252321281,0.301417670653734,1,1,15,14,-65.5424069074102,-58.2274239653599,10,NA,NaN
11,0.0910334415526795,0.16666228140703,1,1,19,19,-65.7664634690758,-59.1144664887245,11,NA,NaN
12,0.178518237481278,0.205056376685297,1,1,23,23,-68.9976353890626,-61.4991702226448,12,NA,NaN
13,0.160024097582071,0.128370003916187,1,1,27,27,-73.7610657163638,-69.0310575701788,13,NA,NaN
14,0.845904667246382,0.0989878919873208,0,1,33,32,-71.4633865514195,-69.9494964448924,14,NA,NaN
15,0.0622447691327371,0.210770456571877,1,1,5,5,-65.9794712626774,-55.2758236805291,15,NA,NaN
16,0.107002186017062,0.336359382733045,1,1,9,9,-64.005255132649,-55.1003324242981,16,NA,NaN
17,0.271987697756121,0.293553177417816,1,1,13,13,-63.2814473491393,-58.3572769961448,17,NA,NaN
18,0.334658893671699,0.211304001535072,0,1,17,17,-68.8974763039904,-65.451067809035,18,NA,NaN
19,0.127675935421008,0.228587586521577,0,1,22,23,-71.6669472024273,-66.1324972427673,19,NA,NaN
20,0.330218808639056,0.127805813340478,0,1,27,29,-72.4352887416527,-68.8288005785428,20,NA,NaN
21,0.225157099083693,0.224928928170777,0,1,33,33,-73.9463927867315,-66.9616488504994,21,NA,NaN
22,0.215976270180084,0.275320206988109,1,1,4,4,-62.0729266593887,-56.2265415550358,22,NA,NaN
23,0.342313170123303,0.377719083122783,1,1,8,8,-61.0156647073824,-56.1911519942807,23,NA,NaN
24,2.56083289196749,0.30833741158426,0,1,13,14,-73.9286563815693,-78.2126750636779,24,NA,NaN
25,8.497881151784,0.316120841594919,0,1,18,18,-71.6778319226673,-77.3263856315721,25,NA,NaN
26,0.392837672239408,0.0699892088814483,0,1,24,25,-74.0680088620134,-71.7641621481422,26,NA,NaN
27,0.309975022416643,0.056672314069863,0,1,27,28,-73.5246514083628,-69.9549337157649,27,NA,NaN
28,0.159949850650558,0.138280144296057,0,1,33,33,-74.8593019839528,-68.0034045244705,28,NA,NaN
29,2.31440475198016,0.309824666895573,1,1,4,4,-58.7476507604988,-62.1019837438805,29,NA,NaN
30,2.15268166279715,0.366820083522023,1,1,8,8,-57.5989206499812,-60.8502346691124,30,NA,NaN
31,1.00920926317633,0.304521035309065,1,1,12,12,-64.2055964831062,-63.3943541216616,31,NA,NaN
32,0.900085029159035,0.208341577987237,0,1,17,17,-67.7658831928055,-68.3466086255586,32,NA,NaN
33,5.06026908220931,0.0703804364094089,0,1,23,21,-68.069547803566,-70.8481012691433,33,NA,NaN
34,0.824892085302142,0.205427450649394,0,1,26,26,-70.9475520251563,-69.1408470578254,34,NA,NaN
35,0.270732525532679,0.181177797032219,0,1,31,32,-72.6396929297422,-69.9378558069441,35,NA,NaN
36,3.67261411209394,0.29724701585463,1,1,5,6,-57.8669227879875,-67.5494299316944,36,NA,NaN
37,13.7392263879151,0.402527363595225,1,1,9,9,-57.0189718737015,-68.2439724850708,37,NA,NaN
38,6.95916560580979,0.382433790738892,1,1,13,13,-58.1600243834371,-66.7696789699912,38,NA,NaN
39,5.00474590003272,0.424920161557154,1,1,18,18,-60.3661944362876,-67.5548341001276,39,NA,NaN
40,4.09358637335641,0.294454956601658,1,1,22,22,-64.0006938275594,-69.1597398566858,40,NA,NaN
41,0.608716663037346,0.2910097466933,1,1,26,27,-67.3597756530604,-69.7454585790459,41,NA,NaN
42,1.3431343703649,0.412677389639336,1,1,32,32,-64.5342090893878,-65.0255183439296,42,NA,NaN
43,9.15068768469293,0.29206713930726,1,1,7,8,-59.2362834170448,-72.3252461042436,43,NA,NaN
44,50.6361887453783,0.3188196246588,1,1,10,10,-57.7916918214707,-76.2263734917809,44,NA,NaN
45,7.06588539551301,0.364716433421239,1,1,14,15,-58.8658277481747,-68.469431334113,45,NA,NaN
46,30.5374487768531,0.40452717568878,1,1,19,18,-61.095938185864,-70.2616242528525,46,NA,NaN
47,6.63133477584328,0.323709270715994,1,1,23,23,-62.6089172573176,-68.7955784720859,47,NA,NaN
48,4.55107868253336,0.398473860298011,1,1,28,28,-62.1853259073373,-68.0359228858024,48,NA,NaN
