feature_x,feature_y,gamma_cp_rx2,a_fp_rhcp_rx1,partial_dependence,pd_gamma_cp_rx2,pd_a_fp_rhcp_rx1,interaction_residual
gamma_CP_rx2,a_FP_RHCP_rx1,0.809507868073609,0.172299608877397,0.62062251984127,0.823608630952381,0.903807043650794,-0.0718556150793644
gamma_CP_rx2,a_FP_RHCP_rx1,0.898708998044354,0.172299608877397,0.632403273809524,0.823608630952381,0.90953621031746,-0.0649359722222216
gamma_CP_rx2,a_FP_RHCP_rx1,0.9879101280151,0.172299608877397,0.675260416666667,0.823608630952381,0.911619543650794,-0.0289860714285709
gamma_CP_rx2,a_FP_RHCP_rx1,1.07711125798585,0.172299608877397,0.681659226190476,0.823608630952381,0.911619543650794,-0.024521785714285
gamma_CP_rx2,a_FP_RHCP_rx1,1.16631238795659,0.172299608877397,0.711793154761905,0.823608630952381,0.911619543650794,0.000999047619048232
gamma_CP_rx2,a_FP_RHCP_rx1,1.25551351792734,0.172299608877397,0.718191964285714,0.823608630952381,0.907229662698413,0.00590976190476256
gamma_CP_rx2,a_FP_RHCP_rx1,1.34471464789808,0.172299608877397,0.718191964285714,0.823608630952381,0.90484871031746,0.00590976190476256
gamma_CP_rx2,a_FP_RHCP_rx1,1.43391577786883,0.172299608877397,0.71328125,0.823608630952381,0.903807043650794,0.00338000000000072
gamma_CP_rx2,a_FP_RHCP_rx1,1.52311690783957,0.172299608877397,0.71328125,0.823608630952381,0.903807043650794,0.00338000000000072
gamma_CP_rx2,a_FP_RHCP_rx1,1.61231803781032,0.172299608877397,0.71328125,0.823608630952381,0.903807043650794,0.00338000000000072
gamma_CP_rx2,a_FP_RHCP_rx1,1.70151916778107,0.172299608877397,0.748474702380952,0.823608630952381,0.905667162698413,0.0297192857142863
gamma_CP_rx2,a_FP_RHCP_rx1,1.79072029775181,0.172299608877397,0.748474702380952,0.823608630952381,0.905667162698413,0.0297192857142863
gamma_CP_rx2,a_FP_RHCP_rx1,1.87992142772256,0.172299608877397,0.748474702380952,0.823608630952381,0.905667162698413,0.0297192857142863
gamma_CP_rx2,a_FP_RHCP_rx1,1.9691225576933,0.172299608877397,0.748474702380952,0.823608630952381,0.905667162698413,0.0297192857142863
gamma_CP_rx2,a_FP_RHCP_rx1,-0.171704561604594,0.184499342253071,0.549156746031746,0.825791170634921,0.653125,-0.120863551587301
gamma_CP_rx2,a_FP_RHCP_rx1,-0.0825034316338479,0.184499342253071,0.55094246031746,0.825791170634921,0.653125,-0.120863551587301
gamma_CP_rx2,a_FP_RHCP_rx1,0.00669769833689773,0.184499342253071,0.55094246031746,0.825791170634921,0.647991071428571,-0.120863551587301
gamma_CP_rx2,a_FP_RHCP_rx1,0.0958988283076434,0.184499342253071,0.547222222222222,0.825791170634921,0.646056547619048,-0.120491527777777
gamma_CP_rx2,a_FP_RHCP_rx1,0.185099958278389,0.184499342253071,0.547222222222222,0.825791170634921,0.638318452380952,-0.115357599206349
gamma_CP_rx2,a_FP_RHCP_rx1,0.274301088249135,0.184499342253071,0.535689484126984,0.825791170634921,0.638318452380952,-0.115357599206349
gamma_CP_rx2,a_FP_RHCP_rx1,0.36350221821988,0.184499342253071,0.530877976190476,0.825791170634921,0.623995535714286,-0.122351646825396
gamma_CP_rx2,a_FP_RHCP_rx1,0.452703348190626,0.184499342253071,0.533531746031746,0.825791170634921,0.622805059523809,-0.122029226190476
gamma_CP_rx2,a_FP_RHCP_rx1,0.541904478161372,0.184499342253071,0.527083333333333,0.825791170634921,0.584139384920635,-0.12287248015873
gamma_CP_rx2,a_FP_RHCP_rx1,0.631105608132117,0.184499342253071,0.548065476190476,0.825791170634921,0.614248511904762,-0.111860575396825
gamma_CP_rx2,a_FP_RHCP_rx1,0.720306738102863,0.184499342253071,0.58375496031746,0.825791170634921,0.876649305555556,-0.0854468849206343
gamma_CP_rx2,a_FP_RHCP_rx1,0.809507868073609,0.184499342253071,0.601537698412699,0.825791170634921,0.903807043650794,-0.0766175198412691
gamma_CP_rx2,a_FP_RHCP_rx1,0.898708998044354,0.184499342253071,0.613318452380952,0.825791170634921,0.90953621031746,-0.0696978769841267
gamma_CP_rx2,a_FP_RHCP_rx1,0.9879101280151,0.184499342253071,0.656175595238095,0.825791170634921,0.911619543650794,-0.0337479761904755
gamma_CP_rx2,a_FP_RHCP_rx1,1.07711125798585,0.184499342253071,0.662574404761905,0.825791170634921,0.911619543650794,-0.0292836904761899
gamma_CP_rx2,a_FP_RHCP_rx1,1.16631238795659,0.184499342253071,0.692708333333333,0.825791170634921,0.911619543650794,-0.00376285714285662
gamma_CP_rx2,a_FP_RHCP_rx1,1.25551351792734,0.184499342253071,0.706994047619048,0.825791170634921,0.907229662698413,0.00903476190476249
gamma_CP_rx2,a_FP_RHCP_rx1,1.34471464789808,0.184499342253071,0.706994047619048,0.825791170634921,0.90484871031746,0.00903476190476249
gamma_CP_rx2,a_FP_RHCP_rx1,1.43391577786883,0.184499342253071,0.702083333333333,0.825791170634921,0.903807043650794,0.00650500000000065
gamma_CP_rx2,a_FP_RHCP_rx1,1.52311690783957,0.184499342253071,0.702083333333333,0.825791170634921,0.903807043650794,0.00650500000000065
gamma_CP_rx2,a_FP_RHCP_rx1,1.61231803781032,0.184499342253071,0.702083333333333,0.825791170634921,0.903807043650794,0.00650500000000065
gamma_CP_rx2,a_FP_RHCP_rx1,1.70151916778107,0.184499342253071,0.737276785714286,0.825791170634921,0.905667162698413,0.0328442857142862
