case_name,scenario,polarization,pos_id,x_m,y_m,label,valid_flag,valid_for_model,fp_energy_db,skewness_pdp,kurtosis_pdp,mean_excess_delay_ns,rms_delay_spread_ns,all_features_valid,gamma_CP_rx1,gamma_CP_rx2,a_FP_RHCP_rx1,a_FP_LHCP_rx1,a_FP_RHCP_rx2,a_FP_LHCP_rx2,label_cp7,label_match,valid_for_cp7_model,baseline_score,proposed_score,baseline_pred,proposed_pred,rescued_by_proposed,harmed_by_proposed,tag_id,geometric_class,material_class,penetration_loss_db,num_hits,hit_objects,hit_materials,criterion
CP_caseB,B,CP,12,3.75,-1.25,1,1,1,-68.2505247216528,4.40826636247585,36.7530289883864,2.88406841736721,2.68618618971753,1,0.563703933128707,1.4507610635488,0.30265990656672,0.183864254544861,0.382409941292719,0.0634374451364658,1,1,1,0.705597528448252,0.617081655107664,1,1,0,0,T34,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,5,3.75,-1.75,1,1,1,-67.6990592278524,6.33506965757456,90.5083343824969,2.82605151312571,2.87718170979988,1,-0.15801076725729,1.63498260232158,0.291019649612112,0.0598863181393882,0.259804886101057,0.111857716448311,1,1,1,0.95055379930074,0.550481058215199,1,1,0,0,T33,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,33,3.75,0.25,0,1,1,-69.8247882614176,3.69577973784391,18.671095642751,3.33560791354666,4.60108812575063,1,0.677812645033558,0.833016250848919,0.355555157692281,0.11974746909661,0.419902457229667,0.0638414139804751,0,1,1,0.328996838242293,0.298314697832085,0,0,0,0,T37,NLOS,LOS,0.581,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,40,3.75,0.75,0,1,1,-68.9134157640688,3.68997091219597,19.1887361484877,3.42453162121478,4.51709589174307,1,0.596792308719203,0.995004402860803,0.262294535076014,0.0561778243763438,0.223516871879921,0.0496806859619725,0,1,1,0.399803247103759,0.160762901191865,0,0,0,0,T38,NLOS,LOS,0.59,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,47,3.75,1.25,1,1,1,-67.6901677337929,6.19483424071738,57.4760975018199,2.77549721185285,3.62431068216462,1,1.20130833031312,0.866423138351703,0.365722704190527,0.200405565744121,0.248404995686619,0.0495344506209514,1,1,1,0.826163254122221,0.831839079879553,1,1,0,0,T39,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,54,3.75,1.75,1,1,1,-69.8245784950111,5.92243121739278,63.8050261700965,2.92190946248597,3.67442803487265,1,1.33067575091962,0.753471036840276,0.300771628697052,0.0707750839106431,0.248728384698669,0.0550433377956606,1,1,1,0.763213517961958,0.590788327364721,1,1,0,0,T40,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,27,4.5,-0.25,0,1,1,-69.3753714551306,4.294496667726,33.8797419165234,3.19067909879721,3.36079238766382,1,0.515458178231592,1.59104779240739,0.266820511546719,0.105076683274994,0.285509240761734,0.0940960547568524,0,1,1,0.578064320684016,0.201927953849051,1,0,1,0,T44,NLOS,LOS,0.575,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,20,4.5,-0.75,0,1,1,-72.1882295599056,3.73723940872915,21.2653517023651,3.69982467486236,4.5503013831694,1,0.476477226744233,1.33684738869799,0.291184810313472,0.0751683528243467,0.264265760933308,0.036213725609557,0,1,1,0.216004311015686,0.0217968010390802,0,0,0,0,T43,NLOS,LOS,0.581,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,13,4.5,-1.25,0,1,1,-79.5775722643392,1.36507328808805,5.18453524907741,7.87737914978815,6.86967531409808,1,-0.572306602282194,0.723815994134112,0.110266481291145,0.0197099774910406,0.217150772381158,0.00428737540841256,0,1,1,0.06769297710923,0.0144260422305318,0,0,0,0,T42,NLOS,LOS,0.594,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,6,4.5,-1.75,1,1,1,-67.7422121002213,6.57181998346424,65.9154294316696,2.68539279253602,3.4148537790324,1,-0.237459758088597,1.78932216944281,0.32937558198004,0.0731759344509683,0.342947339628986,0.0704636486060411,1,1,1,0.927433467988692,0.119413109414771,1,0,0,1,T41,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,34,4.5,0.25,0,1,1,-69.7893066223102,4.36865895755983,32.4408504948419,3.51637963163677,4.12841148700087,1,0.603603974005773,1.41458454118775,0.268033537785275,0.115027820810366,0.282691882289536,0.145435415304258,0,1,1,0.511765145167485,0.368999359629638,1,0,1,0,T45,NLOS,LOS,0.575,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,41,4.5,0.75,0,1,1,-72.5626731502278,3.25010373387262,15.2204859479717,4.50539313522802,6.48410923625881,1,0.834906508478982,0.830218619628539,0.281128160584015,0.0829938389790611,0.211744341657656,0.0198005616686072,0,1,1,0.160096262488755,0.056595139156142,0,0,0,0,T46,NLOS,LOS,0.581,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,48,4.5,1.25,0,1,1,-78.7873922111837,2.10215534213829,9.64964717720941,6.78749658799395,6.50598260563722,1,0.74312312454814,-0.0745341130193276,0.271713055597154,0.0399945099567416,0.0938140953733848,0.00515276903765665,0,1,1,0.0701996759982865,0.0472103865936374,0,0,0,0,T47,NLOS,LOS,0.594,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,55,4.5,1.75,1,1,1,-67.83441936583,5.80196609102199,51.4281521130845,2.74198645485096,3.36180026895769,1,1.22136552635994,1.01598033330458,0.372126433453531,0.220163426603674,0.390723972739401,0.0769565308958647,1,1,1,0.791565851308753,0.842298098375871,1,1,0,0,T48,LOS,LOS,0,0,,,penetration_threshold
CP_caseB,B,CP,28,5.25,-0.25,0,1,1,-71.2188952678562,4.63873203998245,30.9336761230833,3.93830863655953,5.07672465283681,1,0.590122971441305,1.3821215164367,0.229622731599216,0.128994061839278,0.345805801062266,0.0535418470093357,0,1,1,0.362930427820247,0.204348072421314,0,0,0,0,T52,NLOS,LOS,0.571,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,21,5.25,-0.75,0,1,1,-69.948624341546,5.61433619243405,58.1368402170763,3.00026448879332,3.64760989876815,1,0.344610380479224,1.35988788596023,0.256062380177489,0.100261224845175,0.282366441438311,0.0542168238813563,0,1,1,0.723936673025356,0.45590134925413,1,0,1,0,T51,NLOS,LOS,0.576,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,14,5.25,-1.25,0,1,1,-72.1243624308547,3.88136665191131,29.4908980631564,5.00263108957352,5.12006511838833,1,0.427744337345077,1.12962684062055,0.237465697494454,0.0748005757895936,0.420462969179573,0.0371050232720352,0,1,1,0.389126555363102,0.115394464105944,0,0,0,0,T50,NLOS,LOS,0.585,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,7,5.25,-1.75,0,1,1,-73.7402802971616,2.72371169685281,15.3176034473175,3.9908321089995,4.0913286522249,1,0.19380489157641,0.686988654440719,0.206336340096606,0.125680842623223,0.365608043985741,0.217493876556104,0,1,1,0.127780597789531,0.296506359592117,0,0,0,0,T49,NLOS,NLOS,160674.598,1,metal_cabinet_1,metal,hard_block_material
CP_caseB,B,CP,35,5.25,0.25,0,1,1,-71.6879139498598,4.79687718351834,32.1277094940016,3.56793076329139,5.20001475983353,1,0.628084556326829,1.30376945544452,0.299072159277254,0.164243013963661,0.34335532041642,0.0785907267458981,0,1,1,0.329941054701325,0.212490683206654,0,0,0,0,T53,NLOS,LOS,0.571,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,42,5.25,0.75,0,1,1,-70.1277555828436,4.37538385455254,28.3848622831596,3.6335222866617,5.14620099884106,1,0.753323117115444,1.15020500338267,0.255681941256211,0.106347316270742,0.251716125721256,0.0609708799526204,0,1,1,0.389766269092246,0.213541876176234,0,0,0,0,T54,NLOS,LOS,0.576,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,49,5.25,1.25,0,1,1,-70.5483284301818,4.17917129834991,22.7599334868419,3.7512759461097,5.75175564506369,1,1.12382323391284,0.945755492132702,0.387993758671541,0.0596215057014782,0.207508699657263,0.025600006339778,0,1,1,0.298820766335638,0.0593012188885587,0,0,0,0,T55,NLOS,LOS,0.585,1,glass_partition_1,glass,penetration_threshold
CP_caseB,B,CP,56,5.25,1.75,1,1,1,-67.0325631715865,6.67513274855874,61.9288057313439,2.64541967022624,3.46807422602032,1,0.892737462055846,1.02688142982812,0.419068027303834,0.135769079632693,0.253929411047466,0.0506734281775527,1,1,1,0.923438103612492,0.563827363565418,1,1,0,0,T56,LOS,LOS,0,0,,,penetration_threshold
