case_name,scenario,polarization,pos_id,x_m,y_m,label,r_CP,a_FP,fp_energy_db,mean_excess_delay_ns,baseline_score,proposed_score,baseline_pred,proposed_pred,baseline_wrong,proposed_wrong,rescued_by_proposed,harmed_by_proposed,score_delta_proposed_minus_baseline
CP_caseB,B,CP,37,1.5,0.75,1,13.4124812508237,0.404269662428622,-66.8983797979089,3.05251751894271,0.818988096281816,0.877159694846608,1,1,0,0,0,0,0.058171598564792
CP_caseB,B,CP,38,2.25,0.75,1,6.45519210023649,0.402032298143254,-66.9157543495037,2.71545875131745,0.741163903593888,0.756981472459648,1,1,0,0,0,0,0.0158175688657604
CP_caseB,B,CP,39,3,0.75,0,3.36469354693358,0.434588238622793,-67.2906864532241,3.00416462019391,0.726969967881308,0.713415480022677,1,1,1,1,0,0,-0.0135544878586312
CP_caseB,B,CP,40,3.75,0.75,0,1.88326585411418,0.262313190203652,-68.9134157640688,3.42453162121478,0.596958353389522,0.574880682271918,1,1,1,1,0,0,-0.0220776711176045
CP_caseB,B,CP,41,4.5,0.75,0,2.97217666574102,0.281093388442871,-72.5626731502278,4.50539313522802,0.499501326345358,0.469335343005834,0,0,0,0,0,0,-0.0301659833395239
CP_caseB,B,CP,42,5.25,0.75,0,1.89367591654768,0.255705674440493,-70.1277555828436,3.6335222866617,0.660555640185339,0.627727762194513,1,1,1,1,0,0,-0.0328278779908259
CP_caseB,B,CP,43,0.75,1.25,1,18.784102281316,0.289146380870085,-70.3087136077642,4.09900216296267,0.622400806668737,0.698877397152681,1,1,0,0,0,0,0.0764765904839447
CP_caseB,B,CP,44,1.5,1.25,1,46.2880397459418,0.313594610808248,-69.5156238873498,5.35637736110544,0.841273677327325,0.977654778777225,1,1,0,0,0,0,0.1363811014499
CP_caseB,B,CP,45,2.25,1.25,1,27.6006425803199,0.345614088976263,-68.9647796553529,3.78098158626884,0.67363714394899,0.820768886779843,1,1,0,0,0,0,0.147131742830854
CP_caseB,B,CP,46,3,1.25,1,12.6094901671761,0.305963810591558,-67.9824320808553,2.63679102010351,0.741020948195178,0.797137448804963,1,1,0,0,0,0,0.0561165006097853
CP_caseB,B,CP,47,3.75,1.25,1,5.03844088185707,0.36574964409076,-67.6901677337929,2.77549721185285,0.884069639461706,0.88149733146034,1,1,0,0,0,0,-0.00257230800136632
CP_caseB,B,CP,48,4.5,1.25,0,4.11129056403929,0.271879135510841,-78.7873922111837,6.78749658799395,0.247502297141631,0.248522694482365,0,0,0,0,0,0,0.00102039734073403
CP_caseB,B,CP,49,5.25,1.25,0,2.43967980923428,0.387990277827823,-70.5483284301818,3.7512759461097,0.627771902629526,0.577952950032228,1,1,1,1,0,0,-0.049818952597298
CP_caseB,B,CP,50,0.75,1.75,1,34.4148296137828,0.359386385589469,-73.2371655270542,3.73721167165439,0.594002749506799,0.779353032996699,1,1,0,0,0,0,0.1853502834899
